study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,kind,operator,class,false_positive,detected_at_h_only,detections
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__unit_conversion__000,hay2011_soma,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__xml_formatting__000,hay2011_soma,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__add_comments__000,hay2011_soma,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__numeric_literal_format__000,hay2011_soma,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__rename_identifier__000,hay2011_soma,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__factor_file__000,hay2011_soma,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__reorder_independent__000,hay2011_soma,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,hay2011_soma__explicit_default__000,hay2011_soma,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__unit_conversion__000,bbp2015_soma,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__xml_formatting__000,bbp2015_soma,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__add_comments__000,bbp2015_soma,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__numeric_literal_format__000,bbp2015_soma,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__rename_identifier__000,bbp2015_soma,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__factor_file__000,bbp2015_soma,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__reorder_independent__000,bbp2015_soma,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,bbp2015_soma__explicit_default__000,bbp2015_soma,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__unit_conversion__000,traub2005_testseg2,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__xml_formatting__000,traub2005_testseg2,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__add_comments__000,traub2005_testseg2,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__numeric_literal_format__000,traub2005_testseg2,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__rename_identifier__000,traub2005_testseg2,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__factor_file__000,traub2005_testseg2,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__reorder_independent__000,traub2005_testseg2,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg2__explicit_default__000,traub2005_testseg2,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__unit_conversion__000,traub2005_testseg_all,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__xml_formatting__000,traub2005_testseg_all,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__add_comments__000,traub2005_testseg_all,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__numeric_literal_format__000,traub2005_testseg_all,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__rename_identifier__000,traub2005_testseg_all,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__factor_file__000,traub2005_testseg_all,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__reorder_independent__000,traub2005_testseg_all,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,traub2005_testseg_all__explicit_default__000,traub2005_testseg_all,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__unit_conversion__000,smith2013_singlecomp,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__xml_formatting__000,smith2013_singlecomp,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__add_comments__000,smith2013_singlecomp,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__numeric_literal_format__000,smith2013_singlecomp,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__rename_identifier__000,smith2013_singlecomp,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__factor_file__000,smith2013_singlecomp,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__reorder_independent__000,smith2013_singlecomp,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,smith2013_singlecomp__explicit_default__000,smith2013_singlecomp,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,migliore2005_ca1_soma__unit_conversion__000,migliore2005_ca1_soma,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
