study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P00_canonical,baseline_voltage,exceeds,-64.9999771118164,-67.72367471723415,2.7236976054177404,0.5,r-fdc29d572ab8d33a1f37,r-2d029fb712efca3d53bd
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P02_weak_step,baseline_voltage,exceeds,-64.9999771118164,-68.86745948028565,3.86748236846924,0.5,r-007bacc26e9c06940666,r-16326c684c79063fc073
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P04_step_2x,first_isi,exceeds,73.12999999993349,80.3699999999269,7.239999999993415,1.4625999999986699,r-007bacc26e9c06940666,r-16326c684c79063fc073
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P04_step_2x,mean_frequency,exceeds,14.612558450250988,13.41831600135787,1.1942424488931191,0.7306279225125495,r-007bacc26e9c06940666,r-16326c684c79063fc073
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P05_long_step,first_isi,exceeds,91.02999999991721,121.5999999998894,30.569999999972197,1.8205999999983442,r-2e016fe90119b688bc84,r-8a3c52709748f6f99932
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P05_long_step,mean_frequency,exceeds,9.706010063585746,6.3285464910795985,3.377463572506147,0.5,r-2e016fe90119b688bc84,r-8a3c52709748f6f99932
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P06_ramp,mean_frequency,exceeds,9.067918711155903,7.350007350015021,1.7179113611408816,0.5,r-0cd5f319bb80295395e1,r-f6f0a3b8bea37b0295fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P07_hyperpolarizing_step,baseline_voltage,exceeds,-64.9999771118164,-68.86745948028565,3.86748236846924,0.5,r-007bacc26e9c06940666,r-16326c684c79063fc073
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P07_hyperpolarizing_step,minimum_voltage,exceeds,-81.01427459716797,-85.7624282836914,4.7481536865234375,0.5,r-007bacc26e9c06940666,r-16326c684c79063fc073
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-d4460926dc,migliore2014_mt_soma,1,P07_hyperpolarizing_step,voltage_deflection,exceeds,-16.013975125122172,-16.89484964141856,0.8808745162963874,0.8006987562561086,r-007bacc26e9c06940666,r-16326c684c79063fc073
