study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P00_canonical,first_isi,exceeds,20.2299999999816,11.689999999989368,8.539999999992233,0.5,r-4cceac4cec0eb866659f,r-dafe43d5a2d0478d6f0a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P00_canonical,mean_frequency,exceeds,49.81568197674742,86.16445100946046,36.348769032713044,2.4907840988373713,r-4cceac4cec0eb866659f,r-dafe43d5a2d0478d6f0a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P04_step_2x,first_isi,exceeds,10.549999999990405,6.609999999993988,3.9399999999964166,0.5,r-54e05e4e4388308e9268,r-09e167a8d306a6eb4f6b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P04_step_2x,mean_frequency,exceeds,95.40435206246943,152.36567762648073,56.961325564011304,4.770217603123472,r-54e05e4e4388308e9268,r-09e167a8d306a6eb4f6b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P05_long_step,first_isi,exceeds,15.599999999985812,9.299999999991542,6.29999999999427,0.5,r-d95212df9ca6b2b4efff,r-dcc19b43bd0cd09f0270
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P05_long_step,mean_frequency,exceeds,64.1838868356668,107.77752713216752,43.59364029650072,3.20919434178334,r-d95212df9ca6b2b4efff,r-dcc19b43bd0cd09f0270
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,1,P06_ramp,mean_frequency,exceeds,61.0030501525709,96.25218071356916,35.24913056099826,3.050152507628545,r-5888f8cf54a64bb2eb2f,r-7fb48de644d0afbf82cc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P00_canonical,first_isi,exceeds,20.199999999981628,11.669999999989386,8.529999999992242,0.5,r-c9243a4c0b8a67de36a8,r-2dfc8aa8ce2f766944a5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P00_canonical,mean_frequency,exceeds,49.88153136307411,86.26639061432233,36.38485925124822,2.4907840988373713,r-c9243a4c0b8a67de36a8,r-2dfc8aa8ce2f766944a5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P04_step_2x,first_isi,exceeds,10.439999999990505,6.559999999994034,3.879999999996471,0.5,r-e087238cb438e653e31d,r-dbd73eda7d07789986f2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P04_step_2x,mean_frequency,exceeds,96.26762399481751,153.55396613748889,57.28634214267137,4.770217603123472,r-e087238cb438e653e31d,r-dbd73eda7d07789986f2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P05_long_step,first_isi,exceeds,15.489999999985912,9.239999999991596,6.249999999994316,0.5,r-880359fc85650f897997,r-d245f6c89bcc16c80a63
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P05_long_step,mean_frequency,exceeds,64.68078278777342,108.49582592427956,43.815043136506134,3.20919434178334,r-880359fc85650f897997,r-d245f6c89bcc16c80a63
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-5a8359e4e8,pospischil2008_fs,2,P06_ramp,mean_frequency,exceeds,61.23944623484154,97.13988142935891,35.90043519451737,3.050152507628545,r-b0adc3019253aae3e3e8,r-90d57c02f08d91be81ff
