study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P00_canonical,first_isi,exceeds,18.340000000009383,17.36000000000888,0.9800000000005014,0.5,r-7ce2d1a0f19cc5d24572,r-2da37e0e72678eff37b7
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P00_canonical,mean_frequency,exceeds,16.20909735590306,29.99760019200704,13.78850283610398,0.8104548677951531,r-7ce2d1a0f19cc5d24572,r-2da37e0e72678eff37b7
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P02_weak_step,baseline_voltage,exceeds,-67.60466311136881,-66.59922275288899,1.0054403584798166,0.5,r-85c49aecb0e07f4c5069,r-66cca1fd06302306e115
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P04_step_2x,first_isi,exceeds,451.11999999958977,368.55999999966485,82.55999999992491,9.022399999991796,r-85c49aecb0e07f4c5069,r-66cca1fd06302306e115
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P04_step_2x,mean_frequency,exceeds,4.197007533633466,5.14297469657086,0.9459671629373947,0.5,r-85c49aecb0e07f4c5069,r-66cca1fd06302306e115
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P05_long_step,first_isi,exceeds,585.3699999994676,429.91999999960905,155.44999999985856,11.707399999989352,r-f6700284baa99a5ef41f,r-0a1178edf3f7cd297371
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P05_long_step,mean_frequency,exceeds,2.2267623432228354,2.851846570657106,0.6250842274342707,0.5,r-f6700284baa99a5ef41f,r-0a1178edf3f7cd297371
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P06_ramp,mean_frequency,exceeds,2.240017920145719,3.0086951289257082,0.7686772087799891,0.5,r-ee8bcdd517fb72ba8d0c,r-e5447bd45f73717a8249
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P07_hyperpolarizing_step,baseline_voltage,exceeds,-67.60466311136881,-66.59922275288899,1.0054403584798166,0.5,r-85c49aecb0e07f4c5069,r-66cca1fd06302306e115
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,1,P07_hyperpolarizing_step,minimum_voltage,exceeds,-71.07988739013672,-70.15815734863281,0.9217300415039062,0.5,r-85c49aecb0e07f4c5069,r-66cca1fd06302306e115
