rank,title,authors,year,doi,doi_verification,publisher_or_archival_url,full_text_inspected,models_or_systems_studied,transformation_testing,controlled_mutation_testing,multiple_stimulation_protocols,electrophysiological_features,protocol_or_test_suite_optimisation,heldout_generalisation,coding_agent_involvement,overlap_with_neuraxis,remaining_distinction,closeness_1to5_from_novelty_matrix,evidence_file
1,"OSB Model Validation (OMV), osb-model-validation, version 0.4.0 [software]",Boris Marin; Padraig Gleeson (OpenSourceBrain),2014 (repo created); 0.4.0 released 2026,none,"n/a (software, no DOI)","https://github.com/OpenSourceBrain/osb-model-validation (PyPI: OSBModelValidation); described in Sinha et al. 2025, eLife, doi:10.7554/eLife.95135","yes - README and analyzer source read (prior deep read and this pass, 2026-09-16)","NeuroML2/LEMS and PyNN models on Open Source Brain, run on several simulator engines",yes - same model checked against saved expected outputs on every commit and across simulators/versions,no - no mutants or fault seeding,"partial - several hand-written experiments per model (MEP/OMT files), no standard battery","partial - spike times, rates, resting potential, input resistance, time series; element-wise comparison, not an eFEL feature set",no,no,no,Closest practice: tolerance-based regression of NeuroML model outputs in CI; the canonical-test baseline Neuraxis builds on,"Tolerances are typed by hand (default relative tolerance 0.1 in source); never measures what the check misses; no mutants, no protocol selection, no held-out evaluation",3,deepread_r1_b0.json; deepread_r1_b8.json
2,NeuroML-DB: Sharing and characterizing data-driven neuroscience models described in NeuroML,Justas Birgiolas; Vergil Haynes; Padraig Gleeson; Richard C. Gerkin; Suzanne W. Dietrich; Sharon Crook,2023,10.1371/journal.pcbi.1010941,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),PLOS Computational Biology 19(3): e1010941 (Public Library of Science),yes - PLOS PDF read in this pass (29 pp.) and Europe PMC XML in prior deep read,"1,222 NeuroML cell models plus channel, synapse and network models, simulated in NEURON after jNeuroML conversion",partial - relies on OMV for NeuroML-to-NEURON conversion correctness; not studied in the paper,no,yes - Allen Cell Types current-clamp protocols plus rheobase-multiple steps and ramps,yes - 38 Druckmann-style properties as NeuronUnit tests plus extra properties,partial - discussion says fixed 1.5x/3x rheobase stimuli characterise some clusters poorly; no algorithm,no,no,"Multi-protocol, rheobase-scaled feature fingerprints of NeuroML models on the same toolchain","Fingerprints compare different models for clustering; missing features are imputed; no mutants, tolerances, detection rates or protocol selection",3,deepread_r1_b1.json
3,The Cardiac Electrophysiology Web Lab,Jonathan Cooper; Martin Scharm; Gary R. Mirams,2016,10.1016/j.bpj.2015.12.012,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Biophysical Journal 110(2): 292-300 (Elsevier / Biophysical Society); OA at PMC4724653,yes - Europe PMC full-text XML read in this pass and prior deep read,"36 cardiac cell ODE models in CellML, 23 virtual-experiment protocols",partial - compares model versions; reports one CellML encoding error exposed by a restitution protocol,no - no systematic mutants,yes - one protocol set applied to every compatible model,"partial - cardiac outputs (APD, restitution, I-V curves), not neuronal features",no,no,no,Same core idea as Neuraxis: rerun a broad protocol battery on each model version to reveal behaviour that the headline test hides,"No pass/fail rule or tolerances by design; one anecdotal error, no mutants; no protocol selection; cardiac not neuronal; no held-out evaluation",3,deepread_r1_b12.json
4,"A universal workflow for creation, validation, and generalization of detailed neuronal models",Maria Reva; Christian Rössert; Alexis Arnaudon; Tanguy Damart; Darshan Mandge; Anıl Tuncel; Srikanth Ramaswamy; Henry Markram; Werner Van Geit,2023,10.1016/j.patter.2023.100855,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Patterns 4(11): 100855 (Elsevier / Cell Press); OA at PMC10682753,yes - Europe PMC full-text XML read in this pass and prior deep read,"40 detailed rat somatosensory cortex e-models (11 e-types) in NEURON, BluePyOpt/BluePyEfe; export to NeuroML",no,"partial - one-at-a-time parameter reductions as sensitivity analysis, not edit detection","yes - rheobase-scaled steps, IV, APWaveform, SpikeRec; Ramp, sAHP, IDHyperpol for validation",yes - BluePyEfe/eFEL e-features,"no - model parameters optimised, protocols fixed by design","partial - validation on stimuli not used in fitting and on unseen morphologies (model fidelity, not detector transfer)",no,Perturbation-by-feature sensitivity matrix over a multi-protocol battery; held-out stimuli and morphologies,"Aim is model fidelity; perturbations are parameter scalings, not model-file edits; no detectability, battery selection, tolerance calibration or held-out mutation family",3,deepread_r1_b1.json
5,Effective Stimuli for Constructing Reliable Neuron Models,Shaul Druckmann; Thomas K. Berger; Felix Schürmann; Sean Hill; Henry Markram; Idan Segev,2011,10.1371/journal.pcbi.1002133,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),PLoS Computational Biology 7(8): e1002133 (Public Library of Science),yes - PLOS PDF read in this pass (13 pp.) and Europe PMC XML in prior deep read,Multicompartment conductance-based models of 5 rat/mouse cortical neurons fitted to recordings (NEURON),no,no,"yes - steps, ramps and two noise currents at several intensities","yes - six feature-based distances (spike count, latency, accommodation, AP width/height, AHP) plus spike-time coincidence",partial - compares matched training stimulus sets by generalisation; calls an optimal minimal set a future goal,partial - fitted models tested on withheld stimuli; no held-out models or fault families,no,Stimulus-set choice for conductance-based neurons judged on withheld data; states that one stimulus type under-constrains the model,"Goal is constraining parameters to data, not catching edits; no mutants, no tolerances, no algorithmic selection",3,deepread_r1_b8.json
6,Test Generation and Test Prioritization for Simulink Models with Dynamic Behavior,Reza Matinnejad; Shiva Nejati; Lionel C. Briand; Thomas Bruckmann,2019,10.1109/tse.2018.2811489,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),IEEE Transactions on Software Engineering 45(9): 919-944 (IEEE),yes - author version (ORBilu) read in prior deep read,Industrial Simulink models with time-varying behaviour (Delphi),no,yes - fault seeding from Simulink fault patterns; 74 faulty models,"yes - input-signal test suites of size 3, 5, 10",partial - generic signal-shape features,yes - diversity-driven generation plus greedy budget-aware prioritisation,no,no,"Seeded single faults in continuous models, small stimulus suites, budgeted greedy ordering, random baselines","Selection by surrogate diversity/coverage, manual oracles; no neuron models, calibrated tolerances or held-out models/families",3,deepread_r1_b3.json
7,"Optimizing experimental designs for model selection of ion channel drug-binding mechanisms (preprint 2024: Optimising experimental designs for model selection of ion channel drug binding mechanisms, doi:10.1101/2024.08.20.608856)",Frankie Patten-Elliott; Chon Lok Lei; Simon P. Preston; Richard D. Wilkinson; Gary R. Mirams,2025,10.1098/rsta.2024.0227,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Philosophical Transactions of the Royal Society A 383(2292): 20240227 (The Royal Society); OA at PMC11904620,yes - PMC full-text XML (journal) and bioRxiv full text (preprint) read in prior deep read,hERG ion-channel Markov models combined with 15 candidate drug-binding models (voltage clamp),no,"partial - competing model variants, not single faults of one reference",partial - one optimised voltage-clamp protocol vs a modified Milnes protocol,no - trace differences and likelihoods,yes - CMA-ES maximises median pairwise trace difference between candidate models,partial - robustness to a discrepant data-generating model,no,Designs electrophysiology stimuli that separate model variants and checks robustness to an unseen model,"Variants are mechanistic hypotheses; continuous design, not discrete battery; no false-alarm control or unseen variant family; cardiac",3,deepread_r1_b3.json; deepread_r1_b6.json
8,NeuronUnit: A package for data-driven validation of neuron models using SciUnit,Richard C. Gerkin; Justas Birgiolas; Russell J. Jarvis; Cyrus Omar; Sharon M. Crook,2019,10.1101/665331,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),bioRxiv preprint (Cold Spring Harbor Laboratory / openRxiv); software https://github.com/scidash/neuronunit,yes - bioRxiv full text and test source read in prior deep read,Single-neuron and ion-channel models incl. NeuroML via jNeuroML/NEURON backends,no,no,partial - square current injections incl. rheobase search and standard/strong variants,yes - about 50 test classes,"no - optimisation fits parameters, not protocols",no,no,SciUnit-style multi-feature test suites runnable on NeuroML models,"Reference is experimental data, not the model's own prior version; no mutants, tolerance calibration or selection",3,deepread_r1_b0.json
9,HippoUnit: A software tool for the automated testing and systematic comparison of detailed models of hippocampal neurons based on electrophysiological data,Sára Sáray; Christian A. Rössert; Shailesh Appukuttan; et al. (13 authors),2021,10.1371/journal.pcbi.1008114,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),PLOS Computational Biology 17(1): e1008114 (Public Library of Science),yes - Europe PMC full-text XML methods read in prior deep read,Detailed CA1 pyramidal cell (and interneuron) models in NEURON,no,no,"yes - five tests: somatic steps, depolarisation block, bAP, PSP attenuation, oblique integration",yes - eFEL features,no,partial - optimised models checked on features beyond fitting set,no,Battery of protocols and eFEL features run across many models; shows models pass fitted features but fail others,"Scores against experimental data; no mutants, self-referential tolerance, battery selection or held-out detector evaluation",3,deepread_r1_b1.json
10,High-throughput functional curation of cellular electrophysiology models,Jonathan Cooper; Gary R. Mirams; Steven A. Niederer,2011,10.1016/j.pbiomolbio.2011.06.003,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Progress in Biophysics and Molecular Biology 107(1): 11-20 (Elsevier),yes - author preprint PDF read in prior deep read,31 cardiac cell models in CellML,partial - recommends protocol reuse during incremental model development,no,"yes - model-independent protocols (S1-S2 restitution, I-V)",partial - cardiac derived outputs,no,no,no,Origin of the functional-curation idea later implemented in the Web Lab,"No mutants, tolerances, selection or held-out evaluation; cardiac",3,deepread_r1_b2.json
