citation,year,model_type,mutations,multiple_stimuli,electrophysiology_features,protocol_optimization,heldout_evaluation,ai_transformations,software_availability,distinction_from_neurosem,closeness_1to5,kind,doi,url,verification_method,found_via,evidence_file
"Yuan Zhan, John A. Clark (2005). Search-based mutation testing for Simulink models. Proceedings of the 7th Annual Conference on Genetic and Evolutionary Computation (GECCO), pp. 1061-1068.",2005,Matlab/Simulink dataflow models (engineering dynamical models),yes - uses mutants of Simulink models and seeks mutation-adequate test sets.,yes - search generates sets of input test data to kill mutants; exact signal forms not verified (full text closed).,no - no neural features; output comparison details unverified.,partial - search-based generation of mutant-killing test inputs; not selection of a compact battery from candidate protocols.,unclear - not described in abstract; full text inaccessible.,no - no AI-edited models.,none,"Search-based input generation to kill Simulink mutants is a close SE analogue. NeuroSem uses interpretable electrophysiology protocols/features, calibrated tolerances, admissibility classes, held-out models and mutation families.",3,paper,10.1145/1068009.1068188,https://doi.org/10.1145/1068009.1068188,"Crossref /works API (title, authors, GECCO 2005, pp. 1061-1068); OpenAlex W2104276300 (abstract); Semantic Scholar Graph API (DBLP conf/gecco/ZhanC05, closed access). Full text not accessed.",WebSearch site:dl.acm.org mutation analysis Simulink models signal features fault detection test selection greedy; verified via Crossref,deepread_r1_b5.json
"Hook D, Kelly D (2009). Mutation Sensitivity Testing. Computing in Science & Engineering 11(6):40-47.",2009,numerical scientific software without exact oracles (non-neuroscience),yes - seeds code mutants into scientific code to measure how sensitive a test set is to faults.,partial - uses sets of test inputs (hand-picked and random) but not stimulation protocols.,no - compares numerical outputs under error tolerances; no electrophysiology.,partial - argues a few well-designed tests detect many faults and tolerance reduction beats more tests; no formal greedy selection found.,no - no held-out models or held-out mutation family reported in abstract.,no - none.,none,"Closest scientific-computing precedent for mutant-based test sensitivity with tolerances. NeuroSem applies the idea to NeuroML/LEMS neurons with current-clamp protocols, eFEL fingerprints, refinement-calibrated tolerances, greedy battery selection and held-out evaluation.",3,paper,10.1109/mcse.2009.200,https://doi.org/10.1109/mcse.2009.200,"Crossref /works/10.1109/mcse.2009.200 (title, 2 authors, CiSE vol 11 pp 40-47, Nov 2009); OpenAlex abstract (W2031588966).",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b1.json
"Brillout A, He N, Mazzucchi M, et al. (2010). Mutation-Based Test Case Generation for Simulink Models. In: Formal Methods for Components and Objects, Lecture Notes in Computer Science, pp. 208-227. Springer Berlin Heidelberg.",2010,"Simulink control-software models translated to ANSI-C (discrete-step, floating-point), analysed by bounded model checking","yes - single syntactic mutations and injected faults (e.g. signal stuck-at-0), each toggled by a flag in one combined model.","partial - generates input vectors (test cases) that expose each mutant; generic signal inputs, not physiological stimulation protocols.",no - compares raw output signals of the original and mutant models.,yes - aims for small test suites by maximising the number of mutations each test case covers.,no - paper states experimental evaluation of its techniques is planned future work.,no - no AI-generated or AI-edited models.,"Cover, a test-generation tool built on the CBMC model checker (named in the paper; no public URL verified)","This is formal, SAT-based mutant-killing test generation for discrete Simulink programs, with equivalence checking. NeuroSem would be empirical and simulation-based: continuous neuron dynamics, eFEL features with calibrated tolerances, and a greedy battery tested on held-out models and a held-out mutation family.",3,paper,10.1007/978-3-642-17071-3_11,https://doi.org/10.1007/978-3-642-17071-3_11,"Crossref works API (metadata: 7 authors incl. Weissenbacher G, which the input list omitted; LNCS pp. 208-227, issued 2010); Semantic Scholar Graph API (DBLP key conf/fmco/BrilloutHMKPRW09, OA link); OpenAlex works API; author-hosted PDF (philipp.ruemmer.org) read for methods.",WebSearch 'model-based mutation testing Simulink test generation to kill mutants'; WebSearch site:semanticscholar.org fallback; Crossref title query,deepread_r1_b8.json
"Gray, R., Kelly, D. (2010). Investigating test selection techniques for scientific software using Hook's mutation sensitivity testing. Procedia Computer Science, 1(1), 1487-1494.",2010,general scientific software (mutated numerical functions); not neuron models,yes - reanalyses Hook's mutation sensitivity experiments in which eight functions were mutated and run against 1155 test cases.,"partial - many test inputs per function (hand-picked versus randomly selected), not physiological stimulation protocols.",no - generic numerical function outputs; no voltage traces or electrophysiological features.,partial - compares test-selection strategies by mutant detection (random inputs beat hand-picked for four of eight functions); no explicit set-cover selection in abstract.,unclear - abstract mentions extending random-test analysis to additional functions; no frozen discovery/held-out split described (full text blocked).,no - mutants are seeded code faults; no AI-assisted edits.,none,"Generic precedent for mutation-driven test selection and a random-input baseline in scientific code. NeuroSem moves this to NeuroML neuron models: current-clamp protocols, eFEL features with refinement-calibrated tolerances, admissible-mutant classification, cost-matched random batteries, held-out models and mutation family.",3,paper,10.1016/j.procs.2010.04.165,https://doi.org/10.1016/j.procs.2010.04.165,"Crossref /works/10.1016/j.procs.2010.04.165 (title, authors, vol 1 issue 1 pp 1487-1494, May 2010); abstract from OpenAlex and Semantic Scholar APIs (DBLP id journals/procedia/GrayK10). ScienceDirect PDF blocked (HTTP 403), full text not read.",Crossref: 'mutation testing scientific simulation software'; metadata confirmed via Crossref /works/<doi> [fallback source used because arXiv/OpenAlex were rate-limited],deepread_r1_b7.json
"Cooper J, Mirams GR, Niederer SA (2011). High-throughput functional curation of cellular electrophysiology models. Progress in Biophysics and Molecular Biology, 107(1):11-20.",2011,cardiac cell electrophysiology ODE models (31 CellML models),"no; compares existing published models, no seeded faults.",yes; model-independent protocol language applied S1-S2 restitution and L-type calcium current-voltage protocols across models.,"partial; derived outputs such as restitution curves and I-V curves; cardiac quantities, not neuronal eFEL features.",no; protocols are standard and user-defined.,"no; models are characterised or compared, with no discovery/held-out split.",no; no AI-assisted or automated model transformations are studied.,Functional curation in Chaste (paper URL http://www.comlab.ox.ac.uk/chaste; current repo https://github.com/Chaste/Chaste),"Pioneers reusable protocols across models and suggests them for development regression. NeuroSem adds neuron-specific mutants, calibrated tolerances, compact battery selection, and held-out generalisation tests.",3,paper,10.1016/j.pbiomolbio.2011.06.003,https://doi.org/10.1016/j.pbiomolbio.2011.06.003,Crossref api.crossref.org/works/10.1016/j.pbiomolbio.2011.06.003; Europe PMC abstract (PMID 21704062); author preprint PDF at cs.ox.ac.uk (Unpaywall link from Europe PMC) read with pypdf; GitHub REST API for Chaste/Chaste.,Google Scholar 'model testing against electrophysiological features'; metadata verified via Crossref api.crossref.org/works,deepread_r1_b2.json
"Druckmann S, Berger TK, Schürmann F, et al. (2011). Effective Stimuli for Constructing Reliable Neuron Models. PLoS Computational Biology 7(8): e1002133.",2011,"Multicompartment conductance-based cortical neuron models (NEURON), with conductance densities fitted to experimental recordings",no - compares stimuli by how well they constrain fitted conductance densities; no injected faults or edited model variants.,"yes - depolarizing steps, ramps and two noisy current types at several intensities, injected repeatedly into real cells and models.","yes - feature-based errors (e.g. firing rate, AP height) scored against experimental mean and SD; spike-timing coincidence factor for noisy inputs.",partial - systematically compares training stimulus sets by generalisation error; no budgeted search algorithm; an optimal minimal set is named as a future goal.,partial - fitted models are tested on stimuli withheld from fitting; no held-out models or held-out fault families.,no - no AI-generated or AI-edited models or code.,none (custom NSGA-II optimisation implemented in NEURON; no released package identified),"Druckmann ranks stimuli for constraining fits to data. NeuroSem would select a compact battery for detecting seeded single-fault edits, with refinement-calibrated tolerances, testing it on held-out models and a held-out mutation family.",3,paper,10.1371/journal.pcbi.1002133,https://doi.org/10.1371/journal.pcbi.1002133,"Crossref works API (metadata, 6 authors incl. Segev I); Europe PMC REST search (abstract, PMID 21876663, PMC3158041); Europe PMC fullTextXML (methods: stimuli, NSGA-II, training vs generalisation sets, Table 1).",WebSearch 'active selection of stimuli to distinguish neuron models'; Europe PMC refined query; DOI via NCBI idconv; abstract via Europe PMC,deepread_r1_b8.json
"Kelly D, Gray R, Shao Y (2011). Examining random and designed tests to detect code mistakes in scientific software. Journal of Computational Science 2(1):47-56.",2011,general scientific/computational software (non-neuroscience); empirical testing study,"partial - studies detection of seeded code mistakes, building on Hook's mutation sensitivity testing; full mutation protocol not read (abstract paywalled).","partial - compares randomly generated against designed test inputs; inputs are program arguments, not current-clamp stimuli.",no - outputs are numerical program results compared under tolerances; no electrophysiology features.,partial - compares test-selection strategies (random vs designed) and tolerance levels; no greedy compact battery selection reported.,unclear - abstract/summaries do not report a held-out program set or held-out fault family.,no - no AI-generated or AI-assisted code changes.,none,"Finds tighter output tolerances matter more than more tests. NeuroSem would calibrate tolerances by numerical refinement, use eFEL feature fingerprints on NeuroML models, select a greedy battery, and test on held-out models and mutation family.",3,paper,10.1016/j.jocs.2010.12.002,https://doi.org/10.1016/j.jocs.2010.12.002,"Crossref /works/10.1016/j.jocs.2010.12.002 (title, 3 authors, J Comput Sci vol 2 pp 47-56, 2011); Semantic Scholar API (TLDR; abstract elided); web search summary of abstract.",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b1.json
"Marin B, Gleeson P (OpenSourceBrain) (2014). osb-model-validation (OMV): Tools for automated model validation in OpenSourceBrain projects. GitHub repository; PyPI package OSBModelValidation 0.4.0.",2014,"NeuroML v2 / LEMS, PyNN and other models run on multiple simulation engines (jNeuroML, jNeuroML_NEURON, etc.)",no - README and analyzer source show expectation-vs-output checks only; no mutant generation or fault seeding.,"partial - mep/omt files allow multiple named experiments per model; the protocol set is hand-written per project, not a systematic battery.","partial - analyzers cover spike times, spike rate, resting potential, input resistance, activation variables, time series, morphology, temperature.",no - no mechanism to select or minimise experiments/protocols.,no - pass/fail regression per model and engine; no held-out evaluation concept.,no - not addressed.,"OMV https://github.com/OpenSourceBrain/osb-model-validation (LGPL-3.0 per GitHub API; PyPI OSBModelValidation 0.4.0, LGPL-3.0-only)","Closest existing practice and a likely reusable component: tolerance-based regression of recorded observables across simulators on every commit. Tolerances are set by hand per observable. NeuroSem would calibrate tolerances by step refinement, seed controlled mutants, and choose a compact protocol battery validated on held-out models.",3,software,,https://github.com/OpenSourceBrain/osb-model-validation,"GitHub REST API api.github.com/repos/OpenSourceBrain/osb-model-validation (created 2014-04-16, pushed 2026-08-17, LGPL-3.0); PyPI JSON pypi.org/pypi/OSBModelValidation/json (0.4.0, LGPL-3.0-only, authors Boris Marin, Padraig Gleeson); README.md and omv/analyzers/__init__.py read via raw.githubusercontent.com.",WebSearch 'Open Source Brain ... OMV'; metadata via GitHub REST API api.github.com/repos/OpenSourceBrain/osb-model-validation (license LGPL-3.0) | GitHub search osb-model-validation; PyPI JSON OSBModelValidation 0.4.0 | PyPI JSON API https://pypi.org/pypi/OSBModelValidation/json (LGPL-3.0-only) and GitHub REST API repos/OpenSourceBrain/osb-model-validation (LGPL-3.0); no standalone OMV paper located in OpenAlex or Europe PMC searches | GitHub search 'osb-model-validation' + /repos metadata; purpose cross-checked on fetched docs.neuroml.org testing page (WebSearch result),deepread_r1_b0.json
"Cooper, J., Scharm, M., Mirams, G. R. (2016). The Cardiac Electrophysiology Web Lab. Biophysical Journal, 110(2), 292-300.",2016,cardiac cellular electrophysiology ODE models encoded in CellML,no - no systematic mutants; one reported case where protocols exposed an erroneous versus corrected CellML model version.,"yes - 23 virtual-experiment protocols (I-V curves, pacing rates, restitution, channel block, hypo/hyperkalaemia) run across 36 models.","partial - protocol post-processing yields AP properties, restitution and I-V curves; cardiac-specific outputs, not eFEL neuronal features.",no - protocols are hand-authored in a protocol language; no selection or minimisation of a protocol set.,no - resource paper for characterising and comparing models; no discovery/held-out split or detection-rate evaluation.,no - no AI-generated or automated model edits.,Cardiac Electrophysiology Web Lab https://chaste.cs.ox.ac.uk/WebLab (URL as stated in the paper; built on Chaste; current availability not checked),"Already shows model/protocol separation and multi-protocol comparison can reveal model-version errors; NeuroSem adds NeuroML neuron models, mutation-calibrated tolerances, protocol-battery selection and held-out detection evaluation.",3,paper,10.1016/j.bpj.2015.12.012,https://doi.org/10.1016/j.bpj.2015.12.012,"Crossref api.crossref.org/works/10.1016/j.bpj.2015.12.012 (title, authors, volume, issue, pages); Europe PMC REST search (PMID 26789753, PMC4724653, abstract); Europe PMC fullTextXML for PMC4724653 (methods and results sections scanned).",Crossref title query 'Uncovering the Web Lab ...' (after WebSearch on functional curation); metadata verified via Crossref api.crossref.org/works,deepread_r1_b12.json
"Matinnejad, R., Nejati, S., Briand, L. C., et al. (2016). Automated test suite generation for time-continuous Simulink models. Proceedings of the 38th International Conference on Software Engineering, pp. 595-606.",2016,"Time-continuous Simulink controller models (industrial automotive models from Delphi plus public-domain models); cyber-physical systems, not neuroscience","yes - automated fault seeding from Simulink fault patterns produced 104 executable faulty model versions, one fault per model, used to measure fault revealing ability.","yes - generates small test suites (size 3, 5, 10) of piecewise input signals per model.","partial - feature-based output diversity uses signal-shape features (e.g. increasing, instability, discontinuity); analogous to trace features but not electrophysiology.",yes - meta-heuristic whole-suite search maximizes output-signal diversity at fixed suite size; compared with random testing and Simulink Design Verifier.,no - search is fault-agnostic and run on each faulty model; no discovery/held-out model or fault-family split reported.,no - no AI-generated or AI-assisted model transformations.,"SimCoTest - https://sites.google.com/site/simcotesttool/ (URL as cited in the TSE 2019 follow-up; not checked live); ICSE resources https://sites.google.com/site/myicseresources/ (cited in paper, not checked)","Strong SE analogue: small fault-revealing input suites for continuous models with seeded faults. NeuroSem uses a fixed interpretable neuroscience protocol library, eFEL features with calibrated tolerances against a reference model, mutant-coverage greedy selection, and held-out models/family.",3,paper,10.1145/2884781.2884797,https://doi.org/10.1145/2884781.2884797,"Crossref API (title, 4 authors, ICSE 38 proceedings, pp. 595-606, 2016-05-14); Semantic Scholar Graph API and OpenAlex (abstract, DBLP key conf/icse/MatinnejadNBB16); open-access technical report PDF from ORBilu (orbilu.uni.lu/bitstream/10993/21975/1/TR.pdf) read for experiment design and fault seeding.",WebSearch 'Simulink model test generation output diversity fault revealing mutants Matinnejad'; metadata verified via Crossref api.crossref.org/works | WebSearch site:dl.acm.org test selection simulation models cyber-physical Simulink mutation; OpenAlex search 'mutation analysis Simulink test selection'; verified via Crossref,deepread_r1_b3.json
